region;culture;Date;Production en tonne;Superficie en ha;Rendement kg/ha
DAKAR;ARACHIDE;2017;1884.49388949405;3140.82314915675;764.142857
DAKAR;ARACHIDE;2018;55.7620155555556;371.74677037037;150
DAKAR;ARACHIDE;2019;80;400;200
DAKAR;ARACHIDE;2020;556.529306922;894.741651;622
DAKAR;ARACHIDE;2021;741.750041904017;1211.0264081359;612.497
DAKAR;ARACHIDE;2022;662.2;1204;550
DAKAR;SORGHO;2017;169.5;300;565
DAKAR;MIL;2017;4.190671875;9.31260416666667;450
DAKAR;NIEBE;2017;61.4719913888889;153.679978472222;400
DAKAR;NIEBE;2018;67.6191905277778;169.047976319444;400
DAKAR;NIEBE;2019;107.5;250;430
DAKAR;NIEBE;2020;84.4;211;400
DAKAR;NIEBE;2021;110;220;500
DAKAR;NIEBE;2022;25.0931988697917;200.745590958333;125
DAKAR;MANIOC;2017;2599.2;342;7600
DAKAR;MANIOC;2018;2859.12;376.2;7600
DAKAR;MANIOC;2019;3000;400;7500
DAKAR;MANIOC;2020;3648.82294644725;443.851172271871;8220.8253
DAKAR;MANIOC;2021;3700.97125380996;462.621406726245;8000
DAKAR;MANIOC;2022;3238.34984708371;462.621406726245;7000
DAKAR;MAIS;2017;630;900;700
DAKAR;MAIS;2018;104.8;524;200
DAKAR;MAIS;2019;150;600;250
DAKAR;MAIS;2020;165.023586;234;705.229
DAKAR;MAIS;2021;534.1511392;649.6;822.277
DAKAR;MAIS;2022;727;581.6;1250
RUFISQUE;ARACHIDE;2017;1884.49388949405;3140.82314915675;764.142857
RUFISQUE;ARACHIDE;2018;55.7620155555556;371.74677037037;150
RUFISQUE;ARACHIDE;2019;80;400;200
RUFISQUE;ARACHIDE;2020;556.529306922;894.741651;622
RUFISQUE;ARACHIDE;2021;741.750041904017;1211.0264081359;612.497
RUFISQUE;ARACHIDE;2022;662.2;1204;550
RUFISQUE;SORGHO;2017;169.5;300;565
RUFISQUE;MIL;2017;4.190671875;9.31260416666667;450
RUFISQUE;NIEBE;2017;61.4719913888889;153.679978472222;400
RUFISQUE;NIEBE;2018;67.6191905277778;169.047976319444;400
RUFISQUE;NIEBE;2019;107.5;250;430
RUFISQUE;NIEBE;2020;84.4;211;400
RUFISQUE;NIEBE;2021;110;220;500
RUFISQUE;NIEBE;2022;25.0931988697917;200.745590958333;125
RUFISQUE;MANIOC;2017;2599.2;342;7600
RUFISQUE;MANIOC;2018;2859.12;376.2;7600
RUFISQUE;MANIOC;2019;3000;400;7500
RUFISQUE;MANIOC;2020;3648.82294644725;443.851172271871;8220.8253
RUFISQUE;MANIOC;2021;3700.97125380996;462.621406726245;8000
RUFISQUE;MANIOC;2022;3238.34984708371;462.621406726245;7000
RUFISQUE;MAIS;2017;630;900;700
RUFISQUE;MAIS;2018;104.8;524;200
RUFISQUE;MAIS;2019;150;600;250
RUFISQUE;MAIS;2020;165.023586;234;705.229
RUFISQUE;MAIS;2021;534.1511392;649.6;822.277
RUFISQUE;MAIS;2022;727;581.6;1250
REGION DE DIOURBEL;ARACHIDE;2017;53146.6222364738;58379.3003365617;910.367577721536
REGION DE DIOURBEL;ARACHIDE;2018;63368.8454216401;69445.7161354854;912.494664149052
REGION DE DIOURBEL;ARACHIDE;2019;55487;69680;796.311710677382
REGION DE DIOURBEL;ARACHIDE;2020;85433.0912693453;82467.285;1035.96342803507
REGION DE DIOURBEL;ARACHIDE;2021;54125.1995699878;61135.9213164139;885.325654779265
REGION DE DIOURBEL;ARACHIDE;2022;54760.7921639113;68221.6602944094;802.689232827111
REGION DE DIOURBEL;SORGHO;2017;9482.9185;12049.92;786.969415564585
REGION DE DIOURBEL;SORGHO;2018;11752.1884;14445.314;813.564066520118
REGION DE DIOURBEL;SORGHO;2019;13762.5;16125;853.488372093023
REGION DE DIOURBEL;SORGHO;2020;14888.5797484441;17950.0329440134;829.445817446795
REGION DE DIOURBEL;SORGHO;2021;10227.3894344955;14926.4234621566;685.186874164816
REGION DE DIOURBEL;SORGHO;2022;12278.9727067224;15099.2533888027;813.217209522973
REGION DE DIOURBEL;SORGHO;2017;;;
REGION DE DIOURBEL;RIZ;2017;121.375590041303;85.1487586663468;1425.45342929672
REGION DE DIOURBEL;MIL;2017;86687.8965176316;101054.149132477;857.836093439249
REGION DE DIOURBEL;MIL;2018;79036.325166119;110503.531524048;715.238002587449
REGION DE DIOURBEL;MIL;2019;61982;95145;651.447790214935
REGION DE DIOURBEL;MIL;2020;78631.8193402457;112673.847479113;697.871077446099
REGION DE DIOURBEL;MIL;2021;85354.3669410927;112094.486697296;761.45017882625
REGION DE DIOURBEL;MIL;2022;95910.736373622;114335.899992412;838.850583062602
REGION DE DIOURBEL;NIEBE;2017;9152.06035112081;18703.5924632124;489.320988420902
REGION DE DIOURBEL;NIEBE;2018;14437.7;25420;567.966168371361
REGION DE DIOURBEL;NIEBE;2019;13439.6;27637;486.290118319644
REGION DE DIOURBEL;NIEBE;2020;18347.5;28090;653.168387326451
REGION DE DIOURBEL;NIEBE;2021;17841.6163899241;28001.86472784;637.158152263541
REGION DE DIOURBEL;NIEBE;2022;16004.6855053344;28001.86472784;571.557846625201
REGION DE DIOURBEL;MANIOC;2017;18801.25;2473.5;7601.0713563776
REGION DE DIOURBEL;MANIOC;2018;85875;10450;8217.7033492823
REGION DE DIOURBEL;MANIOC;2019;108072.072;12589;8584.64310112003
REGION DE DIOURBEL;MANIOC;2020;114590.5437272;12634;9070.01295925281
REGION DE DIOURBEL;MANIOC;2021;95109.7177767844;12368.714722098;7689.53928631409
REGION DE DIOURBEL;MANIOC;2022;114119.113008;12911.1;8838.83735762251
REGION DE DIOURBEL;MAIS;2017;796.656579058563;893.849030587961;891.265249272054
REGION DE DIOURBEL;MAIS;2018;876.322236964419;983.233933646757;891.265249272054
REGION DE DIOURBEL;MAIS;2019;605;800;756.25
REGION DE DIOURBEL;MAIS;2020;880.068;932;944.278969957081
REGION DE DIOURBEL;MAIS;2021;711.64805648622;944.847507379475;753.188266813518
REGION DE DIOURBEL;MAIS;2022;726.994774563908;910.816592846944;798.179106829331
REGION DE DIOURBEL;FONIO;2019;81;162;500
BAMBEY;ARACHIDE;2017;24425.5569976165;25576.499473944;955
BAMBEY;ARACHIDE;2018;16801.1709226214;17388.3284039469;966.232666666666
BAMBEY;ARACHIDE;2019;13846;19780;700
BAMBEY;ARACHIDE;2020;22627.6232543453;22205.475;1019.01099860937
BAMBEY;ARACHIDE;2021;20300.8548445978;22637.1313164139;896.794499304684
BAMBEY;ARACHIDE;2022;15062.2224029047;21517.4605755782;700
BAMBEY;SORGHO;2017;6183.1295;7274.27;850
BAMBEY;SORGHO;2018;7225;8500;850
BAMBEY;SORGHO;2019;9562.5;10625;900
BAMBEY;SORGHO;2020;7810.97974844413;8650.03294401343;903
BAMBEY;SORGHO;2021;5974.99926583466;8775.19241661925;680.896666666667
BAMBEY;SORGHO;2022;7888.37452992242;8764.86058880269;900
BAMBEY;RIZ;2021;;;
BAMBEY;MIL;2017;53814.4743997847;62720.8326337817;858
BAMBEY;MIL;2018;49358.6819147598;68992.9158971599;715.416666666667
BAMBEY;MIL;2019;35187;58645;600
BAMBEY;MIL;2020;36957.4595759086;57566.1364110726;642
BAMBEY;MIL;2021;46560.1928967853;59179.3636932871;786.764
BAMBEY;MIL;2022;49443.7254756643;61420.7769884028;805
BAMBEY;NIEBE;2017;4573.8683031996;9836.27592085935;465
BAMBEY;NIEBE;2018;6792.5;12350;550
BAMBEY;NIEBE;2019;6174.8;15437;400
BAMBEY;NIEBE;2020;7345;11300;650
BAMBEY;NIEBE;2021;8564.63404186177;13176.3600644027;650
BAMBEY;NIEBE;2022;6588.18003220136;13176.3600644027;500
BAMBEY;MANIOC;2017;1301.25;173.5;7500
BAMBEY;MANIOC;2018;38675;4550;8500
BAMBEY;MANIOC;2019;60522.072;6689;9048
BAMBEY;MANIOC;2020;33070.0781292;3374;9801.4458
BAMBEY;MANIOC;2021;24149.7177767844;3018.71472209805;8000
BAMBEY;MANIOC;2022;30269.35;3561.1;8500
BAMBEY;MAIS;2017;18.6;31;600
BAMBEY;MAIS;2018;20.46;34.1;600
BAMBEY;MAIS;2019;30;50;600
BAMBEY;MAIS;2020;356;400;890
BAMBEY;MAIS;2021;76.03827896;108.08;703.537
BAMBEY;MAIS;2022;74.772;124.62;600
BAMBEY;FONIO;2019;45;90;500
DIOURBEL;ARACHIDE;2017;11634.9234926538;13818.1989223917;842
DIOURBEL;ARACHIDE;2018;10649.345;13229;805
DIOURBEL;ARACHIDE;2019;10191;12900;790
DIOURBEL;ARACHIDE;2020;22692.64875;22738.125;998
DIOURBEL;ARACHIDE;2021;11420.3817;11971.05;954
DIOURBEL;ARACHIDE;2022;12691.5750668066;14931.2647844783;850
DIOURBEL;SORGHO;2017;1247.87;2495.74;500
DIOURBEL;SORGHO;2018;1647.1884;2745.314;600
DIOURBEL;SORGHO;2019;1500;2500;600
DIOURBEL;SORGHO;2020;2757.6;4500;612.8
DIOURBEL;SORGHO;2021;1855.53566205933;3004.93308392732;617.4965
DIOURBEL;SORGHO;2022;1524.6054;3049.2108;500
DIOURBEL;RIZ;2017;114.121249517625;76.0808330117503;1500
DIOURBEL;MIL;2017;15942.3421463537;18646.0142062616;855
DIOURBEL;MIL;2018;14767.6432513592;20510.6156268878;720
DIOURBEL;MIL;2019;12395;18500;670
DIOURBEL;MIL;2020;20301.435;29295;693
DIOURBEL;MIL;2021;20812.0025107074;26837.0730040089;775.4945
DIOURBEL;MIL;2022;23146.9754659577;26837.0730040089;862.5
DIOURBEL;NIEBE;2017;2139.84;4458;480
DIOURBEL;NIEBE;2018;3668;6550;560
DIOURBEL;NIEBE;2019;3024;6000;504
DIOURBEL;NIEBE;2020;5874;8900;660
DIOURBEL;NIEBE;2021;4961.83415;7633.591;650
DIOURBEL;NIEBE;2022;4961.83415;7633.591;650
DIOURBEL;MANIOC;2017;1500;300;5000
DIOURBEL;MANIOC;2018;26800;3350;8000
DIOURBEL;MANIOC;2019;28350;3500;8100
DIOURBEL;MANIOC;2020;39881.55735;4500;8862.5683
DIOURBEL;MANIOC;2021;36400;4550;8000
DIOURBEL;MANIOC;2022;45500;4550;10000
DIOURBEL;MAIS;2017;71.4;119;600
DIOURBEL;MAIS;2018;78.54;130.9;600
DIOURBEL;MAIS;2019;55;100;550
DIOURBEL;MAIS;2020;494.5;500;989
DIOURBEL;MAIS;2021;144.37012483613;193.250914532532;747.0605
DIOURBEL;MAIS;2022;145.421976;208.58;697.2
DIOURBEL;FONIO;2021;;;
MBACKE;ARACHIDE;2017;17086.1417462035;18984.6019402261;900
MBACKE;ARACHIDE;2018;35918.3294990188;38828.3877315384;925.053333333333
MBACKE;ARACHIDE;2019;31450;37000;850
MBACKE;ARACHIDE;2020;40112.819265;37523.685;1069
MBACKE;ARACHIDE;2021;22403.96302539;26527.74;844.5485
MBACKE;ARACHIDE;2022;27006.9946942;31772.9349343529;850
MBACKE;SORGHO;2017;2051.919;2279.91;900
MBACKE;SORGHO;2018;2880;3200;900
MBACKE;SORGHO;2019;2700;3000;900
MBACKE;SORGHO;2020;4320;4800;900
MBACKE;SORGHO;2021;2396.85450660148;3146.29796161005;761.8015
MBACKE;SORGHO;2022;2865.9927768;3285.182;872.4
MBACKE;RIZ;2017;7.25434052367714;9.06792565459642;800
MBACKE;MIL;2017;16931.0799714933;19687.302292434;860
MBACKE;MIL;2018;14910;21000;710
MBACKE;MIL;2019;14400;18000;800
MBACKE;MIL;2020;21372.9247643371;25812.7110680399;828
MBACKE;MIL;2021;17982.1715336;26078.05;689.552
MBACKE;MIL;2022;23320.035432;26078.05;894.24
MBACKE;NIEBE;2017;2438.35204792121;4409.31654235301;553
MBACKE;NIEBE;2018;3977.2;6520;610
MBACKE;NIEBE;2019;4240.8;6200;684
MBACKE;NIEBE;2020;5128.5;7890;650
MBACKE;NIEBE;2021;4315.14819806236;7191.91366343727;600
MBACKE;NIEBE;2022;4454.67132313304;7191.91366343727;619.4
MBACKE;MANIOC;2017;16000;2000;8000
MBACKE;MANIOC;2018;20400;2550;8000
MBACKE;MANIOC;2019;19200;2400;8000
MBACKE;MANIOC;2020;41638.908248;4760;8747.6698
MBACKE;MANIOC;2021;34560;4800;7200
MBACKE;MANIOC;2022;38349.763008;4800;7989.53396
